Date,Total Primary Energy Consumption
2021-06-15,8.048549
2021-07-15,8.415904
2021-08-15,8.52684
2021-09-15,7.722707
2021-10-15,7.771704
2021-11-15,8.142969
2021-12-15,8.750999
2022-01-15,9.506367
2022-02-15,8.459525
2022-03-15,8.54327
2022-04-15,7.746355
2022-05-15,7.93553
2022-06-15,8.154522
2022-07-15,8.582864
2022-08-15,8.528718
2022-09-15,7.782286
2022-10-15,7.810656
2022-11-15,8.283482
2022-12-15,9.076155
2023-01-15,8.908843
2023-02-15,8.036927
